time,qpos,qvel,qacc,tau,X,dX,ddX
0.0,[0. 0. 0. 0.],"[[0.]
 [0.]
 [0.]
 [0.]]","[[-3.14159265]
 [-3.14159265]
 [-3.14159265]
 [-3.14159265]]",[-79.42719922 -28.9150617   -0.14579608 -18.1318758 ],[0. 0. 5.],"[[0.]
 [0.]
 [0.]]","[[0.]
 [0.]
 [0.]]"
0.01,[0.00000000e+00 1.54543045e-05 0.00000000e+00 0.00000000e+00],"[[ 2.05518521e+05]
 [ 1.70280603e-03]
 [-1.10082879e-11]
 [-8.01522233e+05]]","[[0.]
 [0.]
 [0.]
 [0.]]",[-3.37464000e+01  0.00000000e+00  2.79724161e-17 -5.88600000e+00],[2.02588214e-05 2.02588214e-05 5.00000000e+00],"[[0.00595994]
 [0.00595994]
 [0.        ]]","[[1.14527456]
 [1.14527456]
 [0.        ]]"
0.02,[-1.16486447e-08  3.14145367e+00 -3.03384249e-08  0.00000000e+00],"[[ 1.04784569e+06]
 [ 2.18676081e-02]
 [-4.35046284e-11]
 [ 3.24832160e+06]]","[[ 2.05518521e+05]
 [ 1.70280603e-03]
 [-1.10082879e-11]
 [-8.01522233e+05]]",[ 5232077.56346455  3854019.8933743    624509.03077464 -1345547.79924154],[1.52800915e-04 1.52800915e-04 5.00000000e+00],"[[0.02200782]
 [0.02200782]
 [0.        ]]","[[2.02124706]
 [2.02124706]
 [0.        ]]"
0.03,[-1.16486447e-08  3.14115115e+00 -6.84613735e-08  0.00000000e+00],"[[ 2.16858697e+06]
 [ 1.18471312e-01]
 [-6.43675040e-10]
 [ 6.72261888e+06]]","[[ 1.04784569e+06]
 [ 2.18676081e-02]
 [-4.35046284e-11]
 [ 3.24832160e+06]]",[10720723.73326292 17764356.55150218  3476856.88049036  1054003.97969514],[4.85406606e-04 4.85406606e-04 5.00000000e+00],"[[0.04556044]
 [0.04556044]
 [0.        ]]","[[2.64988653]
 [2.64988653]
 [0.        ]]"
0.04,[-1.16486447e-08  3.14060885e+00 -3.03216627e-08  3.81397108e-08],"[[ 7.33789696e+05]
 [-1.53942763e-03]
 [-5.44762292e-10]
 [ 2.27474681e+06]]","[[ 2.16858697e+06]
 [ 1.18471312e-01]
 [-6.43675040e-10]
 [ 6.72261888e+06]]",[22171011.81021877 36014577.11095865  7194949.38424926  2181339.70924845],[1.08112292e-03 1.08112292e-03 5.00000000e+00],"[[0.07425433]
 [0.07425433]
 [0.        ]]","[[3.05316202]
 [3.05316202]
 [0.        ]]"
0.05,[ 5.69844322e-09  3.13978901e+00 -3.37913153e-08  5.54867987e-08],"[[ 7.69000100e+05]
 [-7.33499039e-03]
 [-1.07842958e-09]
 [ 2.38389593e+06]]","[[ 7.33789696e+05]
 [-1.53942763e-03]
 [-5.44762292e-10]
 [ 2.27474681e+06]]",[ 7229942.99475349 12203126.95564846  2377967.02273898   738102.06472398],[1.98046047e-03 1.98046047e-03 5.00000000e+00],"[[0.1059457]
 [0.1059457]
 [0.       ]]","[[3.25304256]
 [3.25304256]
 [0.        ]]"
0.06,[-1.17066738e-08  3.13867180e+00 -1.63861983e-08  1.28495601e-07],"[[ 4.75536475e+05]
 [-3.29004425e-02]
 [-1.83651537e-09]
 [ 1.47415597e+06]]","[[ 7.69000100e+05]
 [-7.33499039e-03]
 [-1.07842958e-09]
 [ 2.38389593e+06]]",[ 7697762.50670055 12781979.83894711  2525140.42095498   773521.59293521],[3.2035904e-03 3.2035904e-03 5.0000000e+00],"[[0.13871043]
 [0.13871043]
 [0.        ]]","[[3.27149722]
 [3.27149722]
 [0.        ]]"
0.07,[ 9.97290370e-08  3.13725344e+00 -1.63861983e-08  2.92361308e-07],"[[ 2.67896291e+05]
 [-4.52363085e-02]
 [-4.58561567e-09]
 [ 8.30469674e+05]]","[[ 4.75536475e+05]
 [-3.29004425e-02]
 [-1.83651537e-09]
 [ 1.47415597e+06]]",[4786562.2383707  8205779.98137597 1571919.32276     478331.81767744],[4.75254124e-03 4.75254124e-03 5.00000000e+00],"[[0.17084412]
 [0.17084412]
 [0.        ]]","[[3.13049501]
 [3.13049501]
 [0.        ]]"
0.08,[ 1.17291174e-07  3.13554417e+00 -1.63861983e-08  6.06755263e-07],"[[ 1.54146048e+05]
 [-5.56623626e-02]
 [-1.06053317e-08]
 [ 4.77842880e+05]]","[[ 2.67896291e+05]
 [-4.52363085e-02]
 [-4.58561567e-09]
 [ 8.30469674e+05]]",[2707264.74736878 4924508.43406346  891468.61424907  269469.41805239],[0.0066134 0.0066134 5.       ],"[[0.20086204]
 [0.20086204]
 [0.        ]]","[[2.852005]
 [2.852005]
 [0.      ]]"
0.09,[2.29314966e-07 3.13356667e+00 1.27541304e-09 1.21683200e-06],"[[ 8.75947934e+04]
 [-6.58647227e-02]
 [-2.30147083e-08]
 [ 2.71533985e+05]]","[[ 1.54146048e+05]
 [-5.56623626e-02]
 [-1.06053317e-08]
 [ 4.77842880e+05]]",[1567446.5337545  3126505.675661    517862.43398859  155049.08192634],[0.00875849 0.00875849 5.        ],"[[0.22749916]
 [0.22749916]
 [0.        ]]","[[2.45799622]
 [2.45799622]
 [0.        ]]"
